AREA,lat, ltd,opis, radius
CENTAR, 41.996104045108254, 21.431439469129984, PLOSTAD, 2000
KARPOS, 42.00506882917239, 21.391412318562143, CITY MALL,2000
AERODROM, 41.98650252174701, 21.46628367660192, CAPITOL MALL, 2000
GAZI BABA,42.00132544607287, 21.49659349769537, KOLEVSKI SERVIS, 1750
BUTEL,42.03210781069088, 21.444302916489363, TRGOVSKI, 3000
KISELA VODA, 41.97300737468964, 21.443916283110102, USJE, 1750
