MUNICIPALITIE ,lat, ltd,radius
CENTAR, 41.994355853913845, 21.42998564349087, 2000
KARPOS, 42.00506882917239, 21.391412318562143, 2500
AERODROM, 41.98542458676115, 21.463802934928463, 1500
GAZI BABA,42.00877791358304, 21.476891274495117, 2000
BUTEL,42.03210781069088, 21.444302916489363, 3000
KISELA VODA, 41.972794542538466, 21.436524390188787,2000
